building_name,type,region
A.I.A.S. - MILANO             ,Territorial,Lombardia
A.I.A.S. - MONZA              ,Territorial,Lombardia
A.S.P. IST.ASSIST.E CURA S.MAR,Territorial,Lombardia
AIAS                          ,Territorial,Lombardia
AIAS                          ,Territorial,Lombardia
AMBROSIANA MEDICAL CENTER - MI,Territorial,Lombardia
ASS.LA NOSTRA FAMIGLIA-LECCO  ,Territorial,Lombardia
C.RIAB.LA PRATERIA-PADERNO D. ,Territorial,Lombardia
C.RIED.MOT.NS.FAM.-P.TE LAMBRO,Territorial,Lombardia
CASA DI CURA E RIABILITAZIONE ,Territorial,Lombardia
CDC IL MELOGRANO              ,Territorial,Lombardia
CENTRO A.I.R.R.I- MILANO      ,Territorial,Lombardia
CENTRO DI RIABIL. S.VINCENZO -,Territorial,Lombardia
"CENTRO DI RIABILITAZIONE "" E. ",Territorial,Lombardia
CENTRO DON ORIONE - BERGAMO   ,Territorial,Lombardia
CENTRO RADIOLOGIA E FISIOTERAP,Territorial,Lombardia
COOP. SOC. STUDIO RIPAMONTI - ,Territorial,Lombardia
COOP. SOCIALE RIEDUCAZIONE - M,Territorial,Lombardia
CREMONA SOLIDALE - CREMONA    ,Territorial,Lombardia
DON GNOCCHI CENTRO GIROLA     ,Territorial,Lombardia
FOND. BENEFATTORI CREMASCHI ON,Territorial,Lombardia
FOND. ISTIT. VISMARA-S.BASSANO,Territorial,Lombardia
FOND. MADONNA  DEL CORLO ONLUS,Territorial,Lombardia
FOND. OSP. G.ARAGONA-S.GIOVANN,Territorial,Lombardia
FOND.DON GNOCCHI-INVERIGO     ,Territorial,Lombardia
FOND.IST.E.GERMANI-CINGIA DE'B,Territorial,Lombardia
FOND.OSP.CASA DI RIPOSO NOB. P,Territorial,Lombardia
FOND.OSP.CASA DI RIPOSO NOB.P.,Territorial,Lombardia
FONDAZ.IST.SACRA FAMIGLIA-CESA,Territorial,Lombardia
FONDAZIONE DON CARLO GNOCCHI  ,Territorial,Lombardia
FONDAZIONE DON CARLO GNOCCHI -,Territorial,Lombardia
FONDAZIONE DON CARLO GNOCCHI O,Territorial,Lombardia
FONDAZIONE DON CARLO GNOCCHI O,Territorial,Lombardia
FONDAZIONE DON CARLO GNOCCHI-C,Territorial,Lombardia
FONDAZIONE G.BRUNENGHI ONLUS-C,Territorial,Lombardia
FONDAZIONE MONS. ARRIGO MAZZAL,Territorial,Lombardia
FONDAZIONE OSP.CAIMI -VAILATE ,Territorial,Lombardia
FONDAZIONE OSPEDALE CIVILE DI ,Territorial,Lombardia
IDR VALSASINO                 ,Territorial,Lombardia
IL DOSSO VERDE - MILANO       ,Territorial,Lombardia
IST. LA NOSTRA FAMIGLIA - VEDA,Territorial,Lombardia
IST. NOSTRA FAMIGLIA - CASTIGL,Territorial,Lombardia
IST.FOND.DON GNOCCHI-GODIASCO ,Territorial,Lombardia
IST.GER.GOLGI-ABBIATEGRASSO   ,Territorial,Lombardia
IST.GER.O.P.COLLEONI-BELDOSSO ,Territorial,Lombardia
IST.GERIAT.P.REDAELLI-VIMODRON,Territorial,Lombardia
IST.GERIATRICO REDAELLI - MILA,Territorial,Lombardia
IST.LA NS.FAM.-BOSISIO PARINI ,Territorial,Lombardia
IST.LA NS.FAMIGLIA-MAND.LARIO ,Territorial,Lombardia
IST.LA SACRA FAMIGLIA-PERLEDO ,Territorial,Lombardia
"ISTITUTO ""ANGELO CUSTODE""- PRE",Territorial,Lombardia
ISTITUTO A.I.A.S. - BUSTO ARSI,Territorial,Lombardia
ISTITUTO A.N.F.A.S. - MILANO  ,Territorial,Lombardia
ISTITUTO DI RIABILITAZIONE CAS,Territorial,Lombardia
ISTITUTO DON GNOCCHI-PESSANO  ,Territorial,Lombardia
ISTITUTO DON LUIGI PALAZZOLO -,Territorial,Lombardia
ISTITUTO DOSSO VERDE-PAVIA    ,Territorial,Lombardia
ISTITUTO G.FRISIA-MERATE      ,Territorial,Lombardia
ISTITUTO LA SACRA FAMIGLIA    ,Territorial,Lombardia
ISTITUTO OPERA PIA ROTA - ALME,Territorial,Lombardia
ISTITUTO OSPEDALIERO-SOSPIRO  ,Territorial,Lombardia
LA NOSTRA FAMIGLIA - CARATE BR,Territorial,Lombardia
LA NOSTRA FAMIGLIA - CISLAGO  ,Territorial,Lombardia
LA NOSTRA FAMIGLIA - COMO     ,Territorial,Lombardia
LA NOSTRA FAMIGLIA - SESTO S.G,Territorial,Lombardia
LUOGO PIO OSP. RAIMONDI-GORLA ,Territorial,Lombardia
OO.PP.ANNESSE - BERGAMO       ,Territorial,Lombardia
PIA CASA DI RIPOSO CARDINAL C.,Territorial,Lombardia
PIA FOND.VAL CAMONICA-MALEGNO ,Territorial,Lombardia
PICCOLO COTTOLENGO DON ORIONE ,Territorial,Lombardia
PIO ALBERGO TRIVULZIO - MILANO,Territorial,Lombardia
PRO JUVENTUTE DON GNOCCHI     ,Territorial,Lombardia
SERV. RIABILITAZIONE TERRITORI,Territorial,Lombardia
UNITAÂ¿ GERIATRICA RIABLITATIVA,Territorial,Lombardia
VICARDIAL - ISTITUTO MEDICO RI,Territorial,Lombardia
VILLA AL LAGO S.R.L.          ,Territorial,Lombardia
