,amenity,name,addr:street,addr:housenumber,addr:city
2,cinema,The Space Cinema Odeon,Via Santa Radegonda,8,Milano
4,restaurant,Da Marco,Via Rovereto,1,Milano
6,cinema,Orfeo,Viale Coni Zugna,50,Milano
7,restaurant,Volta Street,Via Alessandro Volta,3,Milano
9,restaurant,Bomaki,Largo La Foppa,1,Milano
11,restaurant,Ai Muciaccia,Via Giacomo Boni,16,Milano
15,restaurant,Da Berti,Via Francesco Algarotti,20,Milano
16,restaurant,Trattoria Casa Fontana - 23 risotti,Piazza Carbonari,5,Milano
17,restaurant,a Riccione,Via Torquato Taramelli,70,Milano
18,restaurant,Daniel,Via Castelfidardo,7,Milano
20,restaurant,Fabbrica,Alzaia Naviglio Grande,68,Milano
21,restaurant,Rifugio Delicatessen,Via Paolo Lomazzo,67,Milano
22,bar,Club Decò,Via San Galdino,5,Milano
25,restaurant,Lo Scoglio sul Naviglio,Via Lodovico il Moro,55,Milano
29,restaurant,Kapuziner Platz,Viale Monte Nero,34,Milano
32,restaurant,Meat me,Via Ugo Bassi,1/A,Milano
33,restaurant,Titanic,Via Giacomo Watt,32,Milano
34,restaurant,La Fabbrica,Viale Pasubio,2,Milano
40,restaurant,Rossopomodoro,Largo La Foppa,1,Milano
41,bar,Union,Via Moretto Da Brescia,36,Milano
42,bar,Bar Plaza,Via Moretto Da Brescia,31,Milano
45,restaurant,Pomodorino,Via Crema,3,Milano
47,cinema,Arcobaleno Film Center,Viale Tunisia,11,Milano
48,bar,Next,Via Crema,7,Milano
49,restaurant,Pepe Nero,Viale Umbria,11,Milano
50,cinema,Ariosto,Via Lodovico Ariosto,16,Milano
51,cinema,Centrale,Via Torino,30;32,Milano
52,cinema,Colosseo,Viale Monte Nero,84,Milano
59,restaurant,La Darsena 2,Via Giovanni Pezzotti,11,Milano
60,restaurant,Tutta 'Nata Storia,Via Giuseppe Meda,43,Milano
66,restaurant,Il Paquito,Via Ruggero Bonghi,12,Milano
70,bar,Yguana,Via Papa Gregorio Quattordicesimo,16,Milano
72,bar,My Life Cafè,Corso Sempione,63,Milano
75,bar,55 Milano,Via Piero della Francesca,55,Milano
80,bar,L'Angolo,Via Losanna,15,Milano
81,restaurant,Al Toscanaccio,Via privata Chieti,1,Milano
82,restaurant,Positano,Via Losanna,11,Milano
83,restaurant,Contro Vento,Via Giovanni Battista Fauche',8,Milano
86,restaurant,La Rosa dei Venti,Via Piero della Francesca,34,Milano
87,bar,Mister Bar,Via Domodossola,21,Milano
88,restaurant,Fresco,Corso Sempione,41,Milano
90,restaurant,Aquarius,Corso Sempione,49,Milano
95,restaurant,Cucina In,Piazza Gerusalemme,7,Milano
96,restaurant,3 Jolie,Via Fratelli Induno,1,Milano
98,restaurant,Ristorante Brasile,Via privata Mottarone,5,Milano
101,restaurant,Lleva Taps,Via Ariberto,31,Milano
105,restaurant,Dal Bolognese,Via Amedei,8,Milano
106,bar,Bar One,Via Pantano,19,Milano
108,restaurant,Troppa Pizza,Via Carlo Torre,22/b,Milano
109,restaurant,Ghea,Via Valenza,5,Milano
110,restaurant,Akropolis,Via Guglielmo Pepe,38,Milano
115,bar,Jazz Cafè,Corso Sempione,8,Milano
116,restaurant,Pop Up,Via Luigi Cagnola,9,Milano
118,bar,Pils Pub,Via Agostino Bertani,2,Milano
122,restaurant,Osteria della Via Appia,Via Vincenzo Monti,27,Milano
124,restaurant,Settembrini 18,Via Luigi Settembrini,18,Milano
125,restaurant,Guo,Via Mauro Macchi,3,Milano
126,bar,Vanilla,Viale Certosa,41,Milano
128,bar,La Rocchetta,Via Giosuè Carducci,2,Milano
133,restaurant,Seven,Viale Monte Nero,29,Milano
137,restaurant,II Principe dei Navigli,Via Giovanni Enrico Pestalozzi,2,Milano
138,restaurant,Taverna degli Amici,Via Spartaco,4,Milano
139,restaurant,Hosteria della musica,Vicolo Fiori,2,Milano
140,restaurant,California Bakery,Piazza Sant'Eustorgio,4,Milano
141,restaurant,La Magolfa,Via Magolfa,15,Milano
144,restaurant,Langosteria Bistrot,Via privata Bobbio,2,Milano
146,restaurant,Il Tiglio,Via Giulio e Corrado Venini,54,Milano
149,restaurant,La Cornucopia,Via Carlo Foldi,1,Milano
150,restaurant,Lanzhou Ramen,Via Lecco,12,Milano
151,restaurant,Mela Rossa,Via Piero della Francesca,38,Milano
152,restaurant,Bon Wei,Via Lodovico Castelvetro,16,Milano
153,restaurant,Osteria delle Corti,Via Giovanni Battista Fauche',11,Milano
155,bar,Lost in Town,Via Piero della Francesca,38,Milano
156,restaurant,Osteria dei Vecchi Sapori,Via Carmagnola,3,Milano
159,restaurant,Spontini,Via Gaspare Spontini,4,Milano
160,restaurant,Ristorante Nuova Arena,Piazza Lega Lombarda,5,Milano
161,bar,Bar Bianco,Viale Ibsen,4,Milano
162,restaurant,Qui si mangia,Via Carlo Ilarione Petitti,11,Milano
165,restaurant,PizzaBig,Viale Brianza,30,Milano
168,restaurant,Yang,Via Gerolamo Cardano,8,Milano
172,restaurant,Osteria del binari,Via Tortona,1,Milano
176,restaurant,Mamma Oliva,Via Luisa Battistotti Sassi,11,Milano
180,restaurant,Bontà Più,Via Filippino Lippi,7,Milano
193,restaurant,Osteria Il Trullo,Via Achille Maiocchi,14,Milano
194,restaurant,Zero Due,Corso di Porta Ticinese,6,Milano
196,bar,La liberazione,Via Lomellina,14,Milano
198,restaurant,Il Doge di Amalfi,Via Sangallo,41,Milano
201,restaurant,Ristorante Nectare,Via Emilio Cornalia,32,Milano
202,bar,12oz Coffee Joint,Via Giosuè Carducci,11,Milano
203,restaurant,Cantina Carducci,Via Giosuè Carducci,9,Milano
206,restaurant,Maitò,Piazzale Susa,7,Milano
208,restaurant,Antica Trattoria Salutati,Via Coluccio Salutati,15,Milano
209,restaurant,Cantun,Via Polibio,1,Milano
218,restaurant,Milanese Cafè,Piazza Cavour,3,Milano
220,restaurant,Il Marchesino,Via Filodrammatici,2,Milano
221,restaurant,Le Biciclette,Via Conca del Naviglio,10,Milano
225,restaurant,Panino Giusto,Via Borgogna,5,Milano
228,restaurant,Moulin Rouge,Viale Lombardia,96,Milano
230,restaurant,Bottega Ghiotta,Piazza Armando Diaz,6,Milano
231,restaurant,Osteria La Carbonella,Via Terraggio,9,Milano
234,restaurant,Crocetta,Piazza Armando Diaz,5,Milano
235,restaurant,Pianeta Luna,Via Antonio da Recanate,1,Milano
238,restaurant,"Trattoria Tuscana ""Il Cerchio""",Via Luigi Galvani,15,Milano
239,bar,Gran Bar Tunisia,Viale Tunisia,41,Milano
241,restaurant,La Cuccuma,Via Giovanni Pacini,26,Milano
249,cinema,Spazio Oberdan,Viale Vittorio Veneto,2,Milano
251,restaurant,Old Wild West,Corso Sempione,3,Milano
253,restaurant,Piazza Repubblica,Via Aldo Manuzio,11,Milano
259,bar,Lab Milano,Viale Premuda,7,Milano
265,restaurant,Osteria delizia del mare,Piazzale Medaglie d'Oro,3,Milano
272,restaurant,La Gavetta,Via Pompeo Litta,4,Milano
273,restaurant,Osteria Scalo Farini,Via Carlo Farini,27,Milano
276,restaurant,La cantina del Giannone,Via Pietro Giannone,10,Milano
284,restaurant,Antica Osteria Cavallini,Via Mauro Macchi,2,Milano
286,restaurant,Taj Mahal,Via Luigi Porro Lambertenghi,23,Milano
288,restaurant,Vasinikò,Piazza Venticinque Aprile,1,Milano
289,restaurant,Rovereto,Viale Monza,82,Milano
291,bar,Dito Divino,Via Gaetano Negri,8,Milano
293,restaurant,Le Banque,Via Bassano Porrone,6,Milano
305,restaurant,Shiva,Viale Gian Galeazzo,7,Milano
310,restaurant,Capuano's,Via Pietro Orseolo,1,Milano
320,restaurant,Cost,Via Pietro Maroncelli,8,Milano
321,restaurant,Enoteca Huaxia,Via Maurizio Quadrio,23,Milano
322,restaurant,Il Gusto della Nebbia,Via privata Nino Bonnet,11,Milano
323,restaurant,Spontini,Viale Papiniano,43,Milano
324,restaurant,Acero,Viale Papiniano,57,Milano
329,restaurant,God Save the Food,Via Tortona,34,Milano
334,restaurant,La Colonna,Via Santa Maria alla Porta,10,Milano
335,restaurant,Dalla Pagnotta,Via Santa Maria alla Porta,12,Milano
336,restaurant,Carlo e Camilla in Duomo,Via Victor Hugo,4,Milano
337,restaurant,Rugantino,Via dei Fabbri,1,Milano
338,restaurant,Panda Club Restaurant,Piazza Enrico Bottini,6,Milano
340,restaurant,el Brellìn ristorante,Alzaia Naviglio Grande,14,Milano
342,bar,Tatanka,Via Emilio Olivari,3,Milano
349,restaurant,13 Giugno di Brera,Via San Fermo,1,Milano
350,restaurant,Rocking Horse,Corso Como,12,Milano
351,restaurant,Shiki,Via privata Nino Bonnet,11,Milano
352,bar,Pitbull,Corso Como,11,Milano
353,restaurant,Flash,Via Bergamini,1,Milano
356,restaurant,Gino's,Via Giovanni Berchet,1,Milano
357,restaurant,Pani e Tulipani,Via Fabio Filzi,12,Milano
358,restaurant,Roadhouse,Piazza Duca d'Aosta,1,Milano
359,restaurant,Pizzeria Gino Sorbillo,Via Montevideo,4,Milano
361,restaurant,Mozzarella e basilico,Piazzetta Pattari,4,Milano
362,restaurant,Replay,Piazzetta Pattari,1,Milano
367,restaurant,Cinque Vie,Via del Bollo,8,Milano
371,restaurant,Ristorante La Piedra del Sol,Via Emilio Cornalia,2,Milano
372,restaurant,Salsamenteria di Parma,Via San Pietro all'Orto,9,Milano
374,restaurant,Pizzeria Karinans,Piazzale Susa,7,Milano
375,restaurant,Alexander,Corso Giuseppe Garibaldi,108,Milano
376,restaurant,Osteria Brunello,Corso Giuseppe Garibaldi,117,Milano
377,restaurant,Burgetr Italy,Via della Moscova,52,Milano
379,restaurant,Zushi,Via Alessandro Volta,21,Milano
381,restaurant,Il Tavolino,Via Gustavo Fara,23,Milano
382,restaurant,Calipso,Via Giovanni Battista Sammartini,19,Milano
383,restaurant,L'Osteria di Brera,Via Fiori Chiari,8,Milano
385,restaurant,Ristorante Nabucco,Via Fiori Chiari,10,Milano
386,restaurant,Rosso di Brera,Via Marco Formentini,7,Milano
387,restaurant,Ta Hua,Via Gustavo Fara,15,Milano
388,restaurant,Taverna del Borgo Antico,Via Madonnina,27,Milano
392,restaurant,Ristorante al Tronco,Via Genova Thaon Di Revel,10,Milano
393,restaurant,Old Wild West,Viale Zara,13,Milano
398,restaurant,Il Bottegone,Via Pietro Borsieri,25,Milano
399,restaurant,Ristorante Pizzeria Notre Dame,Via Jacopo Dal Verme,11,Milano
400,restaurant,La Balena,Via Pietro Borsieri,28,Milano
401,bar,Golden Gate,Via Garigliano,8,Milano
410,restaurant,Trattoria il Marinaio,Via Guglielmo Pepe,12,Milano
411,restaurant,Vivà,Via Pietro Borsieri,5,Milano
412,restaurant,Little Italy Pizza,Via Pietro Borsieri,5,Milano
413,restaurant,Yao Fusion Restaurant Isola,Via Sebenico,14,Milano
414,restaurant,California Bakery,Corso Como,5,Milano
418,bar,Davai,Largo La Foppa,5,Milano
419,restaurant,Osteria La Vecchia Lira,Largo La Foppa,5,Milano
420,restaurant,Verger,Via Varese,1,Milano
421,restaurant,Ristorante Santa Marta,Via Santa Marta,6,Milano
422,restaurant,Trattoria Milanese,Via Santa Marta,11,Milano
423,restaurant,Tre Cristi,Via Galileo Galilei,5,Milano
424,restaurant,Fiori e Fornelli & Capra e Cavoli,Via Pastrengo,18,Milano
425,restaurant,Ristorante Le Regioni,Via Pietro Borsieri,9,Milano
426,restaurant,Osteria Dal Verme,Via Jacopo Dal Verme,19,Milano
427,restaurant,Bar Pizzeria L'Isola,Via Carmagnola,13,Milano
428,restaurant,La Cantinetta,Piazzale Carlo Archinto,7,Milano
430,restaurant,L'Isola del gusto,Via Angelo della Pergola,4,Milano
432,restaurant,Obicà,Via Mercato,28,Milano
433,restaurant,Torre di Pisa,Via Fiori Chiari,21/5,Milano
434,restaurant,Bar Ristorante Sapori,Viale Francesco Restelli,3,Milano
435,restaurant,Kiki,Piazza Tito Minniti,5,Milano
436,restaurant,Il Cormorano,Via Luigi Porro Lambertenghi,34,Milano
437,restaurant,Il Pesciolone,Via Pietro Borsieri,27,Milano
438,bar,Beer Garden,Via Luigi Porro Lambertenghi,19,Milano
439,restaurant,Il Bue e la Patata,Via Luigi Porro Lambertenghi,24,Milano
440,restaurant,Gen Kai,Via Medardo Rosso,19,Milano
441,restaurant,Sapori di Casa,Via Ugo Bassi,22,Milano
442,restaurant,Avocado Milano,Piazzale Segrino,5,Milano
443,restaurant,Ristorante Pizzeria Segrino,Via Alserio,30,Milano
444,restaurant,Sticaus,Via Alserio,9,Milano
445,restaurant,Trattoria Il Marinaio,Via Vincenzo Civerchio,9,Milano
448,restaurant,SeRist,Piazza Leonardo da Vinci,32,Milano
449,restaurant,California Bakery,Piazza Sant'Ambrogio,16,Milano
450,restaurant,Da Cenciaioli,Via Vincenzo Monti,26,Milano
453,bar,BoGu,Via Pietro da Cortona,13,Milano
454,restaurant,Ristorante Toscano al Pozzo,Via San Carpoforo,7,Milano
455,restaurant,The Bagel Factory,Piazza Ventiquattro Maggio,1/8,Milano
456,bar,Birreria Tortuga,Via Francesco Burlamacchi,1,Milano
457,restaurant,Pizzeria Il Faraone,Via Orti,7,Milano
462,restaurant,Kota-Radja,Piazzale Francesco Baracca,6,Milano
467,restaurant,Home,Corso di Porta Ticinese,106,Milano
486,restaurant,al  Matarel,Via Laura Solera Mantegazza,2,Milano
487,restaurant,BLAH Bar,Via Filippo Turati,8,Milano
495,restaurant,Brand,Largo Riccardo Zandonai,3,Milano
499,restaurant,Ciripizza,Via Paolo Sarpi,63,Milano
504,restaurant,Osteria della Pasta e Fagioli,Via Giulio e Corrado Venini,54,Milano
507,restaurant,Il Montalcino,Via Valenza,17,Milano
508,bar,Music Viga Bar,Via Francesco Viganò,4,Milano
509,restaurant,AD Sushi and More,Via Gaspare Rosales,9,Milano
510,bar,Pixel Bar,Corso Como,12,Milano
511,restaurant,Ristorante Pizzeria All'Isola,Corso Como,12,Milano
512,bar,Dom Cafè,Corso Como,5,Milano
513,bar,10 Corso Como,Corso Como,10,Milano
514,restaurant,Alla Cucina delle Langhe,Corso Como,6,Milano
515,bar,Blenderino,Piazza Venticinque Aprile,14,Milano
516,restaurant,Ganas,Corso Como,2,Milano
517,bar,Maf Bar,Corso Como,6,Milano
518,restaurant,Pizzeria di Porta Garibaldi,Corso Como,6,Milano
519,bar,Miami Lounge Bar,Via Gaspare Rosales,1,Milano
520,restaurant,Sakura,Piazza Venticinque Aprile,12,Milano
521,restaurant,The Prime,Via Gaspare Rosales,1,Milano
522,restaurant,Non Solo Pizza,Via Vallazze,20,Milano
534,restaurant,Pizzeria Naturale,Ripa di Porta Ticinese,79,Milano
551,bar,Lounge Bar,Via Magolfa,27,Milano
552,restaurant,Wasabi,Via Ponte Vetero,14,Milano
553,bar,Noor,Via San Carpoforo,7,Milano
554,restaurant,Osteria del Batti Batti,Corso Giuseppe Garibaldi,41,Milano
555,restaurant,Ristorante Il Cestino,Via Madonnina,27,Milano
565,restaurant,Chiù,Via Vincenzo Monti,32,Milano
566,restaurant,Cecco,Via Vincenzo Monti,34,Milano
567,bar,BQ de Nott,Via Dionigi Bussola,9,Milano
569,restaurant,Antica Trattoria della Pesa,Viale Pasubio,10,Milano
570,restaurant,La Griglia di Varrone,Via Alessio di Tocqueville,7/A,Milano
571,restaurant,Wasabi,Via Antonio Pollaiuolo,8,Milano
572,restaurant,Rossopomodoro,Via Durini,28,Milano
574,bar,Straf Bar,Via San Raffaele,3,Milano
575,restaurant,Quattro Mori,Largo Maria Callas,1,Milano
576,restaurant,Farinella,Foro Buonaparte,71,Milano
581,restaurant,Petrus,Via Fiori Chiari,13,Milano
585,restaurant,Fresco,Via Dante,16 N01,Milano
587,bar,Santa Tecla,Via Santa Tecla,3,Milano
588,restaurant,Fresco & Cimmino,Via Ugo Foscolo,4,Milano
589,restaurant,Da Martino 1950,Via Carlo Farini,8,Milano
590,restaurant,Myke My Kitchen,Via Maurizio Quadrio,25,Milano
591,restaurant,Tang Court Barbecue,Via Carlo Farini,4,Milano
592,restaurant,Da Franco,Via Carlo Farini,3,Milano
593,restaurant,Jasmin Orange,Via Carlo Farini,6,Milano
594,restaurant,Mics,Via Pietro Maroncelli,15,Milano
595,restaurant,Mitsui,Via Carlo Farini,4,Milano
596,restaurant,Mythos,Via Maurizio Quadrio,23,Milano
597,restaurant,You Yi,Via Carlo Farini,8,Milano
598,bar,Ceresio 7,Via Ceresio,7,Milano
599,restaurant,Poporoya,Via Bartolomeo Eustachi,17,Milano
600,restaurant,Pescetto,Via Alessandro Volta,9,Milano
608,restaurant,Radicetonda,Via Lazzaro Spallanzani,16,Milano
609,restaurant,Curò Ristorante,Viale Monte Grappa,9,Milano
610,restaurant,Sciatt a Porter,Viale Monte Grappa,18,Milano
611,restaurant,La Filetteria Italiana,Via Amerigo Vespucci,3,Milano
616,restaurant,La collina d'oro,Via Pietro Rubens,24,Milano
617,restaurant,Pizzeria Spontini,Via Cenisio,37,Milano
618,restaurant,Da Luigi e Anna,Via Balilla,32,Milano
621,restaurant,Serendipico,Piazza Castello,1,Milano
622,restaurant,Stravagario Bistrot,Via Garigliano,3,Milano
623,restaurant,Berberè,Via Sebenico,21,Milano
624,restaurant,Corti Abbadesse,Via degli Assereto,19,Milano
625,restaurant,L'Anima,Via Garigliano,6,Milano
626,restaurant,Japonito,Piazzale Segrino,1,Milano
627,restaurant,Osteria Borsieri,Via Pietro Borsieri,39,Milano
630,restaurant,Zio Pesce,Via Andrea Maffei,12,Milano
631,restaurant,U Barba,Via Pier Candido Decembrio,33,Milano
633,restaurant,Nerino Dieci Trattoria,Via Nerino,10,Milano
637,restaurant,Osteria Angelino,Via Fabio Filzi,9,Milano
638,restaurant,Osteria della Carne,Via Fabio Filzi,11,Milano
639,restaurant,Ristorante Limone,Via Fabio Filzi,7,Milano
640,restaurant,Farinami,Via Vittor Pisani,19,Milano
641,restaurant,Hosteria La Cadrega,Via Gustavo Fara,1,Milano
642,restaurant,Antares,Via Vittor Pisani,16,Milano
643,restaurant,Nima,Via Vittor Pisani,14,Milano
644,bar,Metropolis,Via Vittor Pisani,5,Milano
645,restaurant,Ristorante Berton,Via Mike Bongiorno,13,Milano
648,restaurant,Al tempio d'oro,Via delle Leghe,23,Milano
